"enabled","Status"
"enabled_description","Einschalten der micropayment&trade; Module"

"account","Account-ID"
"account_description","Account-ID von micropayment&trade;"

"accesskey","Access-Key"
"accesskey_description","Access-Key von micropayment&trade;"

"project_name","Projektcode"
"project_name_description","Projektcode von micropayment&trade;"

"pay_text","Bezahltext"
"pay_text_description","Dies wird auf der Rechnung bzw. als Titel im Bezahlfenster angezeigt. Mit dem Platzhalter #ORDER# k&ouml;nnen sie die OrderID der Bestellung mit einf&uuml;gen. z.B. ""Bestellung #ORDER#"" w&uuml;rde ""Bestellung 0000023"" anzeigen."

"theme","Theme"
"theme_description","Theme f&uuml;r das Bezahlfenster, Default ist x1"

"gfx","Logo-Code"
"gfx_description","Tragen Sie hier Ihren Logo-Code ein."

"bggfx","Hintergrund-Grafik-Code"
"bggfx_description","Tragen Sie hier den Hintergrund-Grafik-Code ein."

"bgcolor","Hintergrundfarbe"
"bgcolor_description","Tragen Sie hier die Hintergrundfarbe ein."

"secret_field_name","Sicherheitsfeld Name"
"secret_field_name_description","F&uuml;r mehr Sicherheit in der Server-zu-Server Kommunikation geben Sie hier einen Namen ein den nur Sie kennen."

"secret_field_value","Sicherheitsfeld Wert"
"secret_field_value_description","Geben Sie hier einen Wert ein den der micropayment&trade; Server Ihrem Shop mitgeben soll um die Sicherheit zu verbessern."

"limit_min","Minimaler Bestellwert"
"limit_min_description","Mindestbestellwert. Dies wird auf seitens von micropayment&trade; nochmals gepr&uuml;ft."

"limit_max","Maximaler Bestellwert"
"limit_max_description","Maximalbestellwert. Dies wird auf seitens von micropayment&trade; nochmals gepr&uuml;ft."

"sort_order","Positionierung"
"sort_order_description","Position in der Liste"

"title","Titel"
"title_description","Angezeigter name im Shop"

"description_prepay","<b>Der vorausgefüllte Zahlschein wird Ihnen per Email zugesandt.</b><br />Um Ihre Bestellung abzuschlie&szlig;en, leiten wir Sie nun auf die Webseite<br /> unseres Zahlungsdienstleisters micropayment&trade; weiter.<br /><br />&#10004; sicher &nbsp; &#10004; einfach &nbsp; &#10004; registrierungsfrei"
"description_debit","<b>Bitte halten Sie Ihre Kontodaten bereit.</b><br />Um Ihre Bestellung abzuschlie&szlig;en, leiten wir Sie nun auf die Webseite<br /> unseres Zahlungsdienstleisters micropayment&trade; weiter.<br /><br />&#10004; sicher &nbsp; &#10004; einfach &nbsp; &#10004; registrierungsfrei"
"description_creditcard","<b>Bitte halten Sie Ihre Kreditkartendaten bereit.</b></br />Um Ihre Bestellung abzuschlie&szlig;en, leiten wir Sie nun auf die Webseite<br /> unseres Zahlungsdienstleisters micropayment&trade; weiter.<br /><br />&#10004; sicher &nbsp; &#10004; einfach &nbsp; &#10004; registrierungsfrei"
"description_sofort","<b>Bitte halten Sie die Online-Banking Zugangsdaten bereit.</b><br />Um Ihre Bestellung abzuschlie&szlig;en, leiten wir Sie nun auf die Webseite<br /> unseres Zahlungsdienstleisters micropayment&trade; weiter.<br /><br />&#10004; sicher &nbsp; &#10004; einfach &nbsp; &#10004; registrierungsfrei"

"button_cleanup","Jetzt aufr&auml;umen"
"cleanup_days","L&ouml;schen von nicht bezahlten Bestellungen"
"cleanup_days_description","Wie viele Tage kann eine Bestellung alt sein der sich noch im Status ""Pending Payment"" befindet, bevor Sie vom ""Bestellung aufr&auml;umen"" Button entfernt wird.Bitte legen Sie die Anzahl von Tagen fest und speichern sie Ihre Einstellung. WICHTIG: Hierbei werden keine Vorkassen Bestellung entfernt."

"use_iframe_label","Iframe benutzen"
"use_iframe_description","Das Bezahlfenster wird in einem iframe angezeigt anstatt eine weiterleitung durchzuführen"
"use_iframe_description_creditcard","Das Bezahlfenster wird in einem IFrame angezeigt anstatt eine weiterleitung durchzuführen. Bei 3d-Secure kann es zu problemen kommen."
"use_iframe_description_sofort","Aus technischen gründen zur Zeit nicht möglich. Das Bezahlfenster wird in einem IFrame angezeigt anstatt eine weiterleitung durchzuführen"

"mcpcreditcard_title","micropayment - Kreditkarte"
"mcpdebit_title","micropayment - Lastschrift"
"mcpprepay_title","micropayment - Vorkasse"
"mcpsofort_title","micropayment - Sofortüberweisung"
"mcpservice_title","micropayment - Gateway"